day;month;year;Plot;Subplot;Moisture;Salinity;Salinity_mean;Sensor;Observations;;
1;28;2019;9;F6;NA;NA;0.0944;NA;Todavía no replanteada;;
2;14;2019;1;A1;18.9;0.169;0.169;5;;;
2;14;2019;1;A2;15.1;0.131;0.131;5;;;
2;14;2019;1;A3;19.0;0.163;0.163;5;;;
2;14;2019;1;A4;17.5;0.138;0.138;5;;;
2;14;2019;1;A5;11.4;0.081;0.081;5;;;
2;14;2019;1;A6;16.9;0.152;0.152;5;;;
2;14;2019;1;B1;15.8;0.115;0.115;5;;;
2;14;2019;1;B2;20.9;0.216;0.216;5;;;
2;14;2019;1;B3;19.9;0.207;0.207;5;;;
2;14;2019;1;B4;14.4;0.158;0.158;5;;;
2;14;2019;1;B5;17.1;0.178;0.178;5;;;
2;14;2019;1;B6;16.9;0.147;0.147;5;;;
2;14;2019;1;C1;11.4;0.105;0.105;5;;;
2;14;2019;1;C2;15.9;0.146;0.146;5;;;
2;14;2019;1;C3;18.7;0.167;0.167;5;;;
2;14;2019;1;C4;16.8;0.153;0.153;5;;;
2;14;2019;1;C5;13.5;0.112;0.112;5;;;
2;14;2019;1;C6;18.1;0.151;0.151;5;;;
2;14;2019;1;D1;17.2;0.149;0.149;5;;;
2;14;2019;1;D2;15.8;0.131;0.131;5;;;
2;14;2019;1;D3;18.7;0.145;0.145;5;;;
2;14;2019;1;D4;14.2;0.132;0.132;5;;;
2;14;2019;1;D5;13.7;0.112;0.112;5;;;
2;14;2019;1;D6;19.2;0.182;0.182;5;;;
2;14;2019;1;E1;16.3;0.122;0.122;5;;;
2;14;2019;1;E2;18.4;0.135;0.135;5;;;
2;14;2019;1;E3;13.8;0.079;0.079;5;;;
2;14;2019;1;E4;18.6;0.139;0.139;5;;;
2;14;2019;1;E5;17.2;0.119;0.119;5;;;
2;14;2019;1;E6;16.0;0.107;0.107;5;;;
2;14;2019;1;F1;18.1;0.136;0.136;5;;;
2;14;2019;1;F2;15.2;0.087;0.087;5;;;
2;14;2019;1;F3;17.5;0.129;0.129;5;;;
2;14;2019;1;F4;16.8;0.126;0.126;5;;;
2;14;2019;1;F5;15.3;0.123;0.123;5;;;
2;14;2019;1;F6;17.6;0.148;0.148;5;;;
2;14;2019;2;A1;14.7;0.147;0.147;5;;;
2;14;2019;2;A2;14.7;0.112;0.112;5;;;
2;14;2019;2;A3;12.0;0.094;0.094;5;;;
2;14;2019;2;A4;15.3;0.098;0.098;5;;;
2;14;2019;2;A5;16.7;0.091;0.091;5;;;
2;14;2019;2;A6;15.4;0.060;0.060;5;;;
2;14;2019;2;B1;11.9;0.083;0.083;5;;;
2;14;2019;2;B2;13.4;0.092;0.092;5;;;
