"focal";"fitness";"BEMA";"CHFU";"CHMI";"CETE";"HOMA";"LEMA";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SPRU";"MESU";"MEEL";"MEPO";"SOAS";"FRPU";"SUSP";"COSQ";"RAPE";"plot";"subplot"
"CHFU";96;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A4"
"LEMA";174;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A5"
"HOMA";40;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A5"
"CHFU";32;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A5"
"BEMA";68;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A5"
"HOMA";20;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A6"
"SCLA";62;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A6"
"SCLA";62;1;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;"A6"
"BEMA";56;3;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"A6"
"HOMA";20;1;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;"A6"
"HOMA";20;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B1"
"CHFU";352;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B1"
"LEMA";812;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"B1"
"SCLA";31;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"B1"
"BEMA";456;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B1"
"SCLA";62;0;3;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B2"
"LEMA";406;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B2"
"BEMA";136;0;0;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B2"
"HOMA";20;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B2"
"CHFU";96;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"B2"
"CHFU";32;1;0;0;2;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"B2"
"LEMA";522;0;0;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B2"
"BEMA";192;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B3"
"SCLA";93;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B3"
"CHFU";192;1;0;0;2;0;4;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2;"B3"
"LEMA";348;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B3"
"SCLA";31;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B4"
"SCLA";31;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B4"
"BEMA";68;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B4"
"LEMA";1044;3;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B4"
"LEMA";174;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B5"
"BEMA";72;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B5"
"LEMA";580;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;"B6"
"BEMA";48;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B6"
"HOMA";20;1;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;"B6"
"SCLA";62;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"B6"
"BEMA";28;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C1"
"CHFU";64;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C1"
"LEMA";406;1;2;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;"C1"
"SCLA";62;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C1"
"BEMA";352;0;0;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C2"
"LEMA";1102;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;"C2"
"SCLA";62;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C2"
"CHFU";64;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C2"
"HOMA";20;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C2"
"LEMA";232;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C3"
"CHFU";96;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C3"
"BEMA";248;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C3"
"SCLA";62;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C3"
"BEMA";56;2;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C4"
"LEMA";580;1;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C4"
"CHFU";32;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C4"
"SCLA";31;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C4"
"BEMA";116;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C5"
"LEMA";348;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C5"
"SCLA";62;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C5"
"SCLA";62;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C6"
"LEMA";290;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C6"
"BEMA";56;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C6"
"HOMA";20;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"C6"
"CHFU";32;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"D1"
"BEMA";72;1;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"D1"
"HOMA";20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"D1"
"SCLA";62;0;0;0;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"D1"
